Species,Feret
P.bracetosa,133.37
P.bracetosa,133.48
P.bracetosa,133.52
P.bracetosa,133.57
P.bracetosa,133.73
P.bracetosa,133.74
P.bracetosa,133.74
P.bracetosa,134.31
P.bracetosa,134.43
P.bracetosa,134.45
P.bracetosa,134.97
P.bracetosa,135.44
P.bracetosa,136.19
P.bracetosa,136.19
P.bracetosa,136.36
P.bracetosa,137.04
P.bracetosa,137.15
P.bracetosa,137.17
P.bracetosa,137.35
P.bracetosa,137.43
P.bracetosa,137.7
P.bracetosa,137.94
P.bracetosa,138.09
P.bracetosa,138.42
P.bracetosa,138.71
P.bracetosa,138.83
P.bracetosa,139.59
P.bracetosa,140.11
P.bracetosa,140.11
P.bracetosa,140.61
P.bracetosa,141.34
P.bracetosa,142
P.bracetosa,143
P.bracetosa,144.77
P.bracetosa,145.82
P.bracetosa,147.49
P.bracetosa,147.85
P.bracetosa,148.69
P.bracetosa,149.52
P.bracetosa,149.69
P.bracetosa,153
P.bracetosa,154.57
P.bracetosa,154.65
P.bracetosa,156.6
P.bracetosa,157.07
P.bracetosa,157.64
P.bracetosa,158.29
P.bracetosa,159.02
P.bracetosa,160.11
P.bracetosa,161.9
P.bracetosa,167.75
P.bracetosa,172.58
P.bracetosa,178.37
P.bracetosa,186.74
P.bracetosa,188.68
P.bracetosa,190.2
P.dasytaschya,36.77
P.dasytaschya,36.87
P.dasytaschya,36.88
P.dasytaschya,36.88
P.dasytaschya,38.47
P.dasytaschya,38.63
P.dasytaschya,38.9
P.dasytaschya,39.4
P.dasytaschya,39.4
P.dasytaschya,39.7
P.dasytaschya,40.79
P.dasytaschya,41.23
P.dasytaschya,41.44
P.dasytaschya,41.62
P.dasytaschya,42.06
P.dasytaschya,42.72
P.dasytaschya,42.74
P.dasytaschya,43.17
P.dasytaschya,43.17
P.dasytaschya,43.29
P.dasytaschya,43.68
P.dasytaschya,43.86
P.dasytaschya,44.28
P.dasytaschya,44.95
P.dasytaschya,45.12
P.dasytaschya,45.7
P.dasytaschya,46.88
P.dasytaschya,46.88
P.dasytaschya,47.2
P.dasytaschya,47.31
P.dasytaschya,47.42
P.dasytaschya,47.95
P.dasytaschya,48.26
P.dasytaschya,48.33
P.dasytaschya,48.84
P.dasytaschya,49.52
P.dasytaschya,49.77
P.dasytaschya,50.16
P.dasytaschya,50.41
P.dasytaschya,50.48
P.dasytaschya,50.61
P.dasytaschya,50.67
P.dasytaschya,50.85
P.dasytaschya,50.85
P.dasytaschya,50.99
P.dasytaschya,51.04
P.dasytaschya,52.26
P.dasytaschya,52.26
P.dasytaschya,52.42
P.dasytaschya,52.42
P.dasytaschya,52.76
P.dasytaschya,53.07
P.dasytaschya,53.34
P.dasytaschya,53.37
P.dasytaschya,53.6
P.dasytaschya,53.71
P.dasytaschya,54.09
P.dasytaschya,54.09
P.dasytaschya,54.68
P.dasytaschya,54.68
P.dasytaschya,54.68
P.dasytaschya,55.45
P.dasytaschya,55.57
P.dasytaschya,55.61
P.dasytaschya,55.85
P.dasytaschya,55.89
P.dasytaschya,56.32
P.dasytaschya,56.64
P.dasytaschya,56.75
P.dasytaschya,56.75
P.dasytaschya,56.75
P.dasytaschya,56.75
P.dasytaschya,57.01
P.dasytaschya,57.14
P.dasytaschya,57.21
P.dasytaschya,57.7
P.dasytaschya,58.31
P.dasytaschya,58.43
P.dasytaschya,58.61
P.dasytaschya,59.15
P.dasytaschya,59.36
P.dasytaschya,59.77
P.dasytaschya,60.17
P.dasytaschya,60.3
P.dasytaschya,61.22
P.dasytaschya,61.37
P.dasytaschya,61.37
P.dasytaschya,61.37
P.dasytaschya,61.54
P.dasytaschya,61.85
P.dasytaschya,62.44
P.dasytaschya,62.83
P.dasytaschya,63.12
P.dasytaschya,63.57
P.dasytaschya,63.57
P.dasytaschya,63.57
P.dasytaschya,63.57
P.dasytaschya,63.57
P.dasytaschya,63.57
P.dasytaschya,64.13
P.dasytaschya,64.36
P.dasytaschya,64.41
P.dasytaschya,64.78
P.dasytaschya,65.94
P.dasytaschya,65.94
P.dasytaschya,66.48
P.dasytaschya,66.91
P.dasytaschya,66.91
P.dasytaschya,67.81
P.dasytaschya,67.88
P.dasytaschya,68.37
P.dasytaschya,69.17
P.dasytaschya,69.43
P.dasytaschya,69.69
P.dasytaschya,69.97
P.dasytaschya,70.33
P.dasytaschya,71.04
P.dasytaschya,71.83
P.dasytaschya,71.92
P.dasytaschya,72.17
P.dasytaschya,72.25
P.dasytaschya,72.48
P.dasytaschya,72.53
P.dasytaschya,72.81
P.dasytaschya,73.17
P.dasytaschya,73.17
P.dasytaschya,73.54
P.dasytaschya,74.13
P.dasytaschya,74.16
P.dasytaschya,74.78
P.dasytaschya,75.11
P.dasytaschya,75.18
P.dasytaschya,75.39
P.dasytaschya,75.47
P.dasytaschya,75.85
P.dasytaschya,75.99
P.dasytaschya,75.99
P.dasytaschya,76.16
P.dasytaschya,76.28
P.dasytaschya,76.55
P.dasytaschya,76.84
P.dasytaschya,77.13
P.dasytaschya,77.23
P.dasytaschya,77.9
P.dasytaschya,77.93
P.dasytaschya,78.06
P.dasytaschya,78.06
P.dasytaschya,78.29
P.dasytaschya,78.4
P.dasytaschya,78.72
P.dasytaschya,78.99
P.dasytaschya,78.99
P.dasytaschya,79.06
P.dasytaschya,79.19
P.dasytaschya,79.27
P.dasytaschya,79.29
P.dasytaschya,79.29
P.dasytaschya,79.32
P.dasytaschya,79.65
P.dasytaschya,79.8
P.dasytaschya,80
P.dasytaschya,80.1
P.dasytaschya,80.32
P.dasytaschya,80.41
P.dasytaschya,80.52
P.dasytaschya,81.03
P.dasytaschya,81.03
P.dasytaschya,81.06
P.dasytaschya,81.13
