Species,Feret
P.bracetosa,22.233
P.bracetosa,22.461
P.bracetosa,22.562
P.bracetosa,22.587
P.bracetosa,22.637
P.bracetosa,22.637
P.bracetosa,22.637
P.bracetosa,22.637
P.bracetosa,22.637
P.bracetosa,22.762
P.bracetosa,22.762
P.bracetosa,22.936
P.bracetosa,22.936
P.bracetosa,22.936
P.bracetosa,22.936
P.bracetosa,22.936
P.bracetosa,22.985
P.bracetosa,22.985
P.bracetosa,23.034
P.bracetosa,23.034
P.bracetosa,23.034
P.bracetosa,23.034
P.bracetosa,23.034
P.bracetosa,23.034
P.bracetosa,23.034
P.bracetosa,23.034
P.bracetosa,23.255
P.bracetosa,23.376
P.bracetosa,23.449
P.bracetosa,23.809
P.bracetosa,23.809
P.bracetosa,23.809
P.bracetosa,23.809
P.bracetosa,23.809
P.bracetosa,23.809
P.bracetosa,23.809
P.bracetosa,23.809
P.bracetosa,23.809
P.bracetosa,24.093
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.28
P.bracetosa,24.327
P.bracetosa,24.582
P.bracetosa,24.582
P.bracetosa,24.834
P.bracetosa,24.834
P.bracetosa,24.834
P.bracetosa,24.834
P.bracetosa,24.834
P.bracetosa,24.834
P.bracetosa,24.834
P.bracetosa,24.834
P.bracetosa,24.857
P.bracetosa,24.857
P.bracetosa,24.857
P.bracetosa,24.926
P.bracetosa,24.926
P.bracetosa,24.926
P.bracetosa,24.948
P.bracetosa,25.062
P.bracetosa,25.309
P.bracetosa,25.309
P.bracetosa,25.309
P.bracetosa,25.399
P.bracetosa,25.399
P.bracetosa,25.643
P.bracetosa,25.643
P.bracetosa,25.643
P.bracetosa,25.731
P.bracetosa,25.731
P.bracetosa,25.731
P.bracetosa,25.731
P.bracetosa,25.753
P.bracetosa,25.907
P.bracetosa,25.907
P.bracetosa,25.929
P.bracetosa,25.929
P.bracetosa,25.994
P.bracetosa,25.994
P.bracetosa,25.994
P.bracetosa,25.994
P.bracetosa,25.994
P.bracetosa,25.994
P.bracetosa,25.994
P.bracetosa,26.19
P.bracetosa,26.19
P.bracetosa,26.341
P.bracetosa,26.341
P.bracetosa,26.362
P.bracetosa,26.619
P.bracetosa,26.619
P.bracetosa,26.619
P.bracetosa,26.683
P.bracetosa,26.683
P.bracetosa,26.683
P.bracetosa,26.683
P.bracetosa,26.683
P.bracetosa,26.937
P.bracetosa,26.937
P.bracetosa,26.958
P.bracetosa,27.105
P.bracetosa,27.146
P.bracetosa,27.271
P.bracetosa,27.271
