Species,Wide_Vessel_Diameter
P.weinmaniifolia_RX,139.93
P.weinmaniifolia_RX,140.03
P.weinmaniifolia_RX,141.95
P.weinmaniifolia_RX,142.15
P.weinmaniifolia_RX,142.15
P.weinmaniifolia_RX,142.55
P.weinmaniifolia_RX,142.97
P.weinmaniifolia_RX,143.07
P.weinmaniifolia_RX,146.3
P.weinmaniifolia_VX,146.49
P.weinmaniifolia_RX,147.57
P.weinmaniifolia_RX,148.26
P.weinmaniifolia_RX,148.26
P.weinmaniifolia_RX,148.26
P.weinmaniifolia_VX,148.4
P.weinmaniifolia_RX,148.45
P.weinmaniifolia_RX,148.88
P.weinmaniifolia_RX,149.15
P.weinmaniifolia_RX,150.68
P.weinmaniifolia_RX,150.68
P.weinmaniifolia_RX,151
P.weinmaniifolia_RX,151.09
P.weinmaniifolia_RX,152.82
P.weinmaniifolia_RX,153.07
P.weinmaniifolia_RX,153.35
P.weinmaniifolia_RX,153.43
P.weinmaniifolia_RX,155.27
P.weinmaniifolia_RX,155.38
P.weinmaniifolia_RX,158.63
P.weinmaniifolia_VX,159.2
P.weinmaniifolia_RX,159.85
P.weinmaniifolia_RX,161.22
P.weinmaniifolia_RX,161.42
P.weinmaniifolia_RX,161.42
P.weinmaniifolia_VX,161.42
P.weinmaniifolia_RX,162.38
P.weinmaniifolia_RX,163.95
P.weinmaniifolia_RX,167.81
P.weinmaniifolia_RX,172.38
P.weinmaniifolia_RX,175.04
P.weinmaniifolia_RX,179.54
P.weinmaniifolia_RX,180.25
P.weinmaniifolia_RX,182.8
P.weinmaniifolia_RX,185.66
